WAVE,Q2. What is your age?,Q3. Do you identify as…,Q4. Where do you currently live?,Q5. What is your **annual household** income before tax?,Q6. How many children (under 18) are in the household?,Q8. How important is it that businesses act responsibly when it comes to society and the environment?,Q16. Are you aware of the UN's Sustainable Development Goals (SDGs)?,Q17. How much do you know about the UN's SDGs?,"Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... No poverty","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Zero hunger","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Good health","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Quality education","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Gender equality","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Clean water and sanitation","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Affordable and clean energy","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Decent work and economic growth","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Industry, innovation, and infrastructure","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Reduced inequalities","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Sustainable cities and communities","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Responsible consumption and production","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Climate action","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Life below water","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Life on land","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Peace, justice and strong institutions","Q18. Below are the UN's global Sustainable Development Goals. Pick up to three that are most important to you, personally.... Partnerships for the goals",Q19. In the last 3 months have you stopped / started or switched buying any company / brand because of their social or environmental behaviour?
JUL-SEP,25-34 years,Female,Regional / Rural Queensland,"$35,000 to $49,999",0,Very important,No,<not-asked>,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
JUL-SEP,65 years or over,Male,Regional / Rural Victoria,"$35,000 to $49,999",0,Neither important nor unimportant,No,<not-asked>,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
JUL-SEP,45-54 years,Female,Sydney,"$100,000 to $149,999",1,Somewhat important,No,<not-asked>,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
JUL-SEP,45-54 years,Female,Regional / Rural Western Australia,"$50,000 to $74,999",0,Important,No,<not-asked>,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
JUL-SEP,65 years or over,Female,Regional / Rural Victoria,"$50,000 to $74,999",0,Somewhat important,No,<not-asked>,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
JUL-SEP,45-54 years,Male,Sydney,"$150,000 to $199,999",1,Somewhat important,No,<not-asked>,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
JUL-SEP,55-64 years,Female,Brisbane,"$100,000 to $149,999",0,Neither important nor unimportant,No,<not-asked>,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
JUL-SEP,55-64 years,Female,Regional / Rural Victoria,"$50,000 to $74,999",0,Don't know,No,<not-asked>,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
JUL-SEP,35-44 years,Female,Brisbane,"$200,000 +",1,Very important,No,<not-asked>,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
JUL-SEP,65 years or over,Female,Regional / Rural Queensland,"$100,000 to $149,999",0,Important,Yes,I know a little about the SDGs overall and have some knowledge of the specific goals,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
JUL-SEP,18-24 years,Female,Regional / Rural New South Wales,"$100,000 to $149,999",2,Very important,No,<not-asked>,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
JUL-SEP,65 years or over,Male,Sydney,"$100,000 to $149,999",2,Important,No,<not-asked>,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
JUL-SEP,65 years or over,Female,Perth,"$35,000 to $49,999",0,Neither important nor unimportant,Yes,I know a little about the SDGs overall and have some knowledge of the specific goals,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
